Price,Close,High,Low,Open,Volume
Ticker,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS
Date,,,,,
2024-07-09,8476.3603515625,8598.656536071323,8452.828995107315,8500.040091806652,195613
2024-07-10,8428.8525390625,8509.857562430627,8269.754283319793,8509.857562430627,178905
2024-07-11,8345.0859375,8475.373648198272,8314.54874660848,8470.489509094083,134239
2024-07-12,8099.70458984375,8386.57478011656,8081.698120462911,8287.90919446813,406193
2024-07-15,8141.04541015625,8154.710207608361,8006.46517328372,8100.739942505758,279190
2024-07-16,8122.4462890625,8189.1939388471665,8075.728522693309,8178.389865211525,212920
2024-07-18,7787.82275390625,8139.812720456728,7610.422219592639,8124.815358391761,715249
2024-07-19,7518.81103515625,7804.152104624784,7498.584589880913,7794.581350007791,355166
2024-07-22,7613.9736328125,7656.301070080912,7325.919280647044,7424.732762200579,363722
2024-07-23,7402.927734375,7707.804381800793,6959.081000549587,7663.306589870493,714300
2024-07-24,7422.21728515625,7536.028132144571,7335.78613760553,7449.202418612724,388681
2024-07-25,7522.06689453125,7662.369553173777,7311.169200481431,7350.586295537553,304924
2024-07-26,7746.4814453125,7764.981241790718,7547.275733188155,7596.2139578249735,237187
2024-07-29,7867.8896484375,7887.820289558142,7707.804734811781,7793.594654727595,207473
2024-07-30,7738.78662109375,7941.593554123645,7725.5159061732065,7883.3808544475,136915
2024-07-31,7791.4736328125,7841.940985048367,7686.049354998337,7694.140125972985,274082
2024-08-01,7666.1181640625,7841.940423125144,7631.78273438261,7791.473074505572,143518
2024-08-02,7477.6669921875,7676.133197286607,7446.833997580447,7592.365732125734,195829
2024-08-05,7366.0771484375,7496.512769413071,7140.231227419954,7303.325736817966,335130
2024-08-06,7366.0771484375,7547.917638177829,7328.880028285609,7347.379826418398,271285
2024-08-07,7765.3759765625,7809.380923095019,7370.664503029404,7455.17147882577,470318
2024-08-08,7836.31689453125,8045.192139472748,7672.236212477323,7775.8350810871625,630662
2024-08-09,7865.71923828125,8153.477322049229,7815.301027735827,8041.245218538946,1288936
2024-08-12,7572.2880859375,7883.3313525591475,7529.023129183564,7883.3313525591475,499233
2024-08-13,7444.12109375,7684.815988480269,7424.585500024269,7684.815988480269,485092
2024-08-14,7653.44091796875,7710.716102066733,7351.5733431221015,7498.58507686592,505429
2024-08-16,7805.63232421875,7819.247982889665,7621.27557353088,7736.3688875505195,383686
2024-08-19,7718.21435546875,7877.85508357209,7704.746599108324,7848.798357069984,140445
2024-08-20,7696.65576171875,7775.83489511976,7632.325606423792,7763.945884617484,180753
