Price,Close,High,Low,Open,Volume
Ticker,AMBER.NS,AMBER.NS,AMBER.NS,AMBER.NS,AMBER.NS
Date,,,,,
2024-07-09,4567.9501953125,4888.0,4521.5,4544.0,435441
2024-07-10,4567.89990234375,4600.0,4470.0,4560.0498046875,143025
2024-07-11,4551.5,4636.39990234375,4520.5498046875,4565.0,70193
2024-07-12,4555.7998046875,4616.7998046875,4535.0498046875,4580.0,54853
2024-07-15,4697.25,4743.5,4545.64990234375,4602.89990234375,224123
2024-07-16,4593.25,4706.7998046875,4550.0,4693.0498046875,109801
2024-07-18,4428.64990234375,4578.0,4307.2998046875,4578.0,170961
2024-07-19,4171.10009765625,4444.64990234375,4030.64990234375,4429.64990234375,184151
2024-07-22,4279.7001953125,4330.0,4090.0,4130.39990234375,140287
2024-07-23,4205.5,4288.35009765625,4057.25,4275.0,109152
2024-07-24,4311.9501953125,4350.0,4205.4501953125,4205.5,84321
2024-07-25,4384.5498046875,4420.0,4273.7998046875,4312.0,122306
2024-07-26,4380.39990234375,4524.0,4353.0,4430.0,318945
2024-07-29,4386.9501953125,4529.0,4357.75,4490.0,192009
2024-07-30,4347.5,4446.89990234375,4333.0,4406.0,61749
2024-07-31,4334.5,4385.35009765625,4325.0,4373.9501953125,54595
2024-08-01,4261.14990234375,4361.89990234375,4240.0,4335.0,42976
2024-08-02,4389.5,4615.0,4205.10009765625,4209.0498046875,699150
2024-08-05,4249.60009765625,4279.0498046875,4120.0,4250.0,209317
2024-08-06,4215.25,4391.9501953125,4170.0,4306.0,89239
2024-08-07,4285.7998046875,4325.0,4206.0,4220.0,64539
2024-08-08,4342.60009765625,4371.9501953125,4248.0,4248.0,51699
2024-08-09,4314.9501953125,4399.0,4276.0498046875,4374.9501953125,61240
2024-08-12,4158.7998046875,4270.0,4142.0,4227.0,101358
2024-08-13,4074.050048828125,4188.0,4045.050048828125,4160.0,63461
2024-08-14,4086.75,4119.9501953125,3964.0,4050.0,118241
2024-08-16,4143.5,4152.4501953125,4055.0,4117.0,133792
2024-08-19,4189.9501953125,4215.0,4097.7001953125,4144.0,171107
2024-08-20,4240.5498046875,4256.7998046875,4089.050048828125,4239.39990234375,173382
2024-08-21,4179.7998046875,4254.2998046875,4159.0,4241.0,199274
2024-08-22,4199.85009765625,4220.5498046875,4146.60009765625,4212.5,99269
2024-08-23,4195.85009765625,4270.0,4158.4501953125,4203.0,93106
2024-08-26,4242.10009765625,4280.0,4190.35009765625,4220.0,67878
2024-08-27,4303.2998046875,4348.9501953125,4203.0,4240.0,173947
2024-08-28,4379.39990234375,4390.0,4310.5,4310.5,96127
2024-08-29,4556.7998046875,4592.7001953125,4384.89990234375,4401.0,538395
2024-08-30,4467.2998046875,4614.89990234375,4450.10009765625,4597.0,113651
2024-09-02,4465.85009765625,4520.0,4418.0498046875,4500.0,64451
2024-09-03,4455.14990234375,4500.0,4440.10009765625,4469.0,53204
2024-09-04,4510.85009765625,4520.0,4399.64990234375,4443.5498046875,47908
2024-09-05,4690.60009765625,4719.89990234375,4513.9501953125,4526.25,298641
2024-09-06,4514.39990234375,4727.0,4480.0,4670.0498046875,119831
