symbol,current_price,ema20,ema50,ema200,trend,rsi,rsi_signal,macd,macd_signal_line,macd_histogram,macd_signal,atr,expected_low,expected_high,volume,average_volume,relative_volume,volume_signal,score,max_score,recommendation
BAJFINANCE,1006.2000122070312,984.7876179771043,951.7061806399954,935.1057811177876,STRONG BULLISH,65.6941454773116,STRONG BULLISH,28.193222500074967,25.94155499377962,2.251667506295348,"Healthy RSI, Bullish MACD Crossover",23.028902448192973,983.1711097588383,1029.2289146552241,1337300,8714490.8,0.15345704421421844,LOW,82,100,BUY
ICICIBANK,1396.699951171875,1369.60644599965,1333.426188484538,1335.4821938987643,STRONG BULLISH,62.819187602946144,NEUTRAL,29.04768994716983,29.27213857393752,-0.22444862676769262,"Healthy RSI, Bearish MACD Crossover",24.77142333984375,1371.9285278320312,1421.4713745117188,815564,12004192.05,0.06793993270042693,LOW,72,100,BUY
MARUTI,13963.0,13867.881109824904,13626.932437874657,13965.057749978821,NEUTRAL,59.76616231086658,STRONG BULLISH,252.43001700357308,229.45422109206595,22.975795911507134,"Healthy RSI, Bullish MACD Crossover",332.14285714285717,13630.857142857143,14295.142857142857,35850,549260.85,0.06526953450259562,LOW,67,100,WATCHLIST
HDFCBANK,816.2999877929688,794.1165183136225,782.7563900644651,840.9396370043928,NEUTRAL,67.36441887665089,STRONG BULLISH,15.678551829391154,13.215409297111599,2.463142532279555,"Healthy RSI, Bullish MACD Crossover",14.467864990234375,801.8321228027344,830.7678527832031,3502595,34407287.95,0.10179805525765072,LOW,67,100,WATCHLIST
SBIN,1022.4000244140624,1027.0767898997542,1020.273255060535,985.1041271248997,STRONG BULLISH,45.023533913708945,BEARISH,7.5872957254786115,10.494047846495665,-2.9067521210170533,"Neutral RSI, Bearish MACD Crossover",16.73215593610491,1005.6678684779574,1039.1321803501673,506126,9989248.0,0.050667077241450004,LOW,63,100,WATCHLIST
LT,3943.60009765625,4055.0607019154395,4023.3717518482704,3894.5835570755653,NEUTRAL,21.819335787856318,NEUTRAL,-14.008296079505271,20.204586706003877,-34.21288278550915,"Oversold (Possible Reversal), Bearish MACD Crossover",67.53564453125,3876.064453125,4011.1357421875,170456,1875720.6,0.09087494160910745,LOW,55,100,WATCHLIST
AXISBANK,1318.9000244140625,1339.0855050201521,1321.802209081844,1273.5204474750724,NEUTRAL,37.79725028684223,BEARISH,5.354679052941037,13.477330177395702,-8.122651124454665,"Weak RSI, Bearish MACD Crossover",24.878583635602677,1294.02144077846,1343.778608049665,263609,5660726.6,0.046568050115686564,LOW,51,100,NEUTRAL
INFY,1045.0,1066.8832081203332,1118.0066500164717,1300.42054071121,STRONG BEARISH,48.82352492388557,STRONG BULLISH,-24.30370393082876,-29.001907835478807,4.698203904650047,"Neutral RSI, Bullish MACD Crossover",30.128561837332597,1014.8714381626673,1075.1285618373327,922875,13677857.9,0.0674721880244128,LOW,49,100,NEUTRAL
TCS,2027.199951171875,2102.63932072791,2208.4263520891864,2614.6565920443454,STRONG BEARISH,40.362626364690556,BULLISH,-49.67276791968288,-52.73789149240585,3.0651235727229675,"Weak RSI, Bullish MACD Crossover",56.742824009486625,1970.4571271623884,2083.9427751813614,503260,4268432.45,0.11790276779476737,LOW,40,100,NEUTRAL
RELIANCE,1288.0,1305.7290674686924,1324.0995003221972,1378.2527526991817,STRONG BEARISH,43.31051445777825,BEARISH,-7.392569868464534,-6.536071944250025,-0.8564979242145094,"Weak RSI, Bearish MACD Crossover",20.957144601004465,1267.0428553989955,1308.9571446010045,4049686,12982423.45,0.31193605844061423,LOW,36,100,AVOID
